,Coordinates
559,"(30.937840599999994, -101.00853139999994)"
560,"(30.937840599999994, -100.76329319999994)"
561,"(30.937840599999994, -100.51805499999993)"
562,"(30.937840599999994, -100.27281679999993)"
563,"(30.937840599999994, -100.02757859999993)"
564,"(30.692602399999995, -99.78234039999992)"
565,"(30.692602399999995, -99.53710219999992)"
566,"(30.692602399999995, -99.29186399999992)"
567,"(30.692602399999995, -99.04662579999992)"
568,"(30.692602399999995, -98.80138759999991)"
569,"(30.692602399999995, -98.55614939999991)"
570,"(30.692602399999995, -98.31091119999991)"
571,"(30.692602399999995, -98.0656729999999)"
572,"(30.692602399999995, -97.8204347999999)"
573,"(30.692602399999995, -97.5751965999999)"
574,"(30.692602399999995, -97.3299583999999)"
575,"(30.692602399999995, -97.0847201999999)"
576,"(30.692602399999995, -96.83948199999989)"
577,"(30.692602399999995, -96.59424379999989)"
578,"(30.692602399999995, -96.34900559999988)"
579,"(30.692602399999995, -96.10376739999988)"
580,"(30.692602399999995, -95.85852919999988)"
581,"(30.692602399999995, -95.61329099999988)"
582,"(30.692602399999995, -95.36805279999987)"
583,"(30.692602399999995, -105.17758079999999)"
584,"(30.692602399999995, -104.93234259999998)"
585,"(30.692602399999995, -104.68710439999998)"
586,"(30.692602399999995, -104.44186619999998)"
587,"(30.692602399999995, -104.19662799999998)"
588,"(30.692602399999995, -103.95138979999997)"
589,"(30.692602399999995, -103.70615159999997)"
590,"(30.692602399999995, -103.46091339999997)"
591,"(30.692602399999995, -103.21567519999996)"
592,"(30.692602399999995, -102.97043699999996)"
593,"(30.692602399999995, -102.72519879999996)"
594,"(30.692602399999995, -102.47996059999996)"
595,"(30.692602399999995, -102.23472239999995)"
596,"(30.692602399999995, -101.98948419999995)"
597,"(30.692602399999995, -101.74424599999995)"
598,"(30.692602399999995, -101.49900779999994)"
599,"(30.692602399999995, -101.25376959999994)"
600,"(30.692602399999995, -101.00853139999994)"
601,"(30.692602399999995, -100.76329319999994)"
602,"(30.692602399999995, -100.51805499999993)"
603,"(30.692602399999995, -100.27281679999993)"
604,"(30.692602399999995, -100.02757859999993)"
605,"(30.447364199999996, -99.78234039999992)"
606,"(30.447364199999996, -99.53710219999992)"
607,"(30.447364199999996, -99.29186399999992)"
608,"(30.447364199999996, -99.04662579999992)"
609,"(30.447364199999996, -98.80138759999991)"
610,"(30.447364199999996, -98.55614939999991)"
611,"(30.447364199999996, -98.31091119999991)"
612,"(30.447364199999996, -98.0656729999999)"
613,"(30.447364199999996, -97.8204347999999)"
614,"(30.447364199999996, -97.5751965999999)"
615,"(30.447364199999996, -97.3299583999999)"
616,"(30.447364199999996, -97.0847201999999)"
